stimulusCount,gridRows,gridCols,stimulusValue1,stimulusValue2,stimulusValue3,stimulusValue4,stimulusValue5,stimulusValueType1,stimulusValueType2,stimulusValueType3,stimulusValueType4,stimulusValueType5,stimulusGridPosition1,stimulusGridPosition2,stimulusGridPosition3,stimulusGridPosition4,stimulusGridPosition5,probeValue1,probeValue2,probeValue3,probeValue4,probeValue5,probeValueType1,probeValueType2,probeValueType3,probeValueType4,probeValueType5,probeGridPosition1,probeGridPosition2,probeGridPosition3,probeGridPosition4,probeGridPosition5,probeType1,probeType2,probeType3,probeType4,probeType5,keyCount,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
3,5,5,grid_01.png,grid_12.png,grid_04.png,,,image,image,image,,,14,13,9,,,grid_05.png,grid_01.png,grid_04.png,,,image,image,image,,,14,13,9,,,distractor,intrusion,match,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_11.png,grid_07.png,,,,image,image,,,,6,2,,,,grid_07.png,grid_11.png,,,,image,image,,,,2,6,,,,match,match,,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
5,5,5,grid_15.png,grid_13.png,grid_16.png,grid_02.png,grid_10.png,image,image,image,image,image,8,10,14,7,11,grid_10.png,grid_12.png,grid_15.png,grid_16.png,grid_02.png,image,image,image,image,image,11,14,8,10,7,match,distractor,match,intrusion,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_15.png,grid_03.png,,,,image,image,,,,10,14,,,,grid_15.png,grid_11.png,,,,image,image,,,,10,14,,,,match,distractor,,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,5,5,grid_01.png,grid_07.png,grid_03.png,grid_11.png,,image,image,image,image,,3,16,7,15,,grid_03.png,grid_07.png,grid_10.png,grid_01.png,,image,image,image,image,,16,15,7,3,,intrusion,intrusion,distractor,match,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,5,5,grid_14.png,grid_11.png,grid_09.png,,,image,image,image,,,12,11,2,,,grid_09.png,grid_03.png,grid_11.png,,,image,image,image,,,2,12,11,,,match,distractor,match,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,5,5,grid_11.png,grid_10.png,grid_16.png,grid_02.png,,image,image,image,image,,9,4,6,5,,grid_03.png,grid_16.png,grid_02.png,grid_10.png,,image,image,image,image,,5,6,9,4,,distractor,match,intrusion,match,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
5,5,5,grid_16.png,grid_14.png,grid_15.png,grid_05.png,grid_01.png,image,image,image,image,image,12,6,8,4,9,grid_01.png,grid_14.png,grid_05.png,grid_04.png,grid_03.png,image,image,image,image,image,12,6,4,9,8,intrusion,match,match,distractor,distractor,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_04.png,grid_13.png,,,,image,image,,,,15,8,,,,grid_13.png,grid_04.png,,,,image,image,,,,15,8,,,,intrusion,intrusion,,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
5,5,5,grid_03.png,grid_01.png,grid_08.png,grid_13.png,grid_14.png,image,image,image,image,image,1,7,10,15,14,grid_15.png,grid_13.png,grid_14.png,grid_03.png,grid_01.png,image,image,image,image,image,15,14,10,1,7,distractor,intrusion,intrusion,match,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,5,5,grid_05.png,grid_01.png,grid_07.png,,,image,image,image,,,1,7,6,,,grid_05.png,grid_01.png,grid_10.png,,,image,image,image,,,7,6,1,,,intrusion,intrusion,distractor,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,5,5,grid_06.png,grid_14.png,grid_05.png,grid_15.png,,image,image,image,image,,2,8,10,9,,grid_05.png,grid_06.png,grid_15.png,grid_14.png,,image,image,image,image,,10,8,9,2,,match,intrusion,match,intrusion,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_08.png,grid_06.png,,,,image,image,,,,3,1,,,,grid_05.png,grid_06.png,,,,image,image,,,,1,3,,,,distractor,intrusion,,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
5,5,5,grid_09.png,grid_07.png,grid_04.png,grid_06.png,grid_11.png,image,image,image,image,image,13,15,3,1,16,grid_04.png,grid_15.png,grid_06.png,grid_13.png,grid_07.png,image,image,image,image,image,3,15,1,13,16,match,distractor,match,distractor,intrusion,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,5,5,grid_13.png,grid_15.png,grid_02.png,,,image,image,image,,,3,5,15,,,grid_15.png,grid_13.png,grid_02.png,,,image,image,image,,,5,3,15,,,match,match,match,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,5,5,grid_13.png,grid_04.png,grid_07.png,grid_02.png,,image,image,image,image,,12,2,3,15,,grid_13.png,grid_06.png,grid_16.png,grid_04.png,,image,image,image,image,,12,3,2,15,,match,distractor,distractor,intrusion,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,5,5,grid_08.png,grid_12.png,grid_16.png,,,image,image,image,,,16,4,12,,,grid_16.png,grid_12.png,grid_05.png,,,image,image,image,,,12,4,16,,,match,match,distractor,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_09.png,grid_05.png,,,,image,image,,,,4,16,,,,grid_01.png,grid_09.png,,,,image,image,,,,16,4,,,,distractor,match,,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
5,5,5,grid_12.png,grid_05.png,grid_03.png,grid_11.png,grid_09.png,image,image,image,image,image,9,5,11,2,4,grid_07.png,grid_12.png,grid_09.png,grid_11.png,grid_03.png,image,image,image,image,image,11,9,5,2,4,distractor,match,intrusion,match,intrusion,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
3,5,5,grid_06.png,grid_10.png,grid_03.png,,,image,image,image,,,7,10,8,,,grid_10.png,grid_03.png,grid_06.png,,,image,image,image,,,7,8,10,,,intrusion,match,intrusion,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
5,5,5,grid_06.png,grid_02.png,grid_10.png,grid_12.png,grid_08.png,image,image,image,image,image,16,13,6,5,12,grid_02.png,grid_12.png,grid_07.png,grid_10.png,grid_06.png,image,image,image,image,image,13,5,12,6,16,match,match,distractor,match,match,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,5,5,grid_09.png,grid_06.png,grid_04.png,grid_12.png,,image,image,image,image,,13,11,14,1,,grid_12.png,grid_09.png,grid_04.png,grid_14.png,,image,image,image,image,,1,13,14,11,,match,match,match,distractor,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
2,5,5,grid_10.png,grid_16.png,,,,image,image,,,,5,11,,,,grid_10.png,grid_16.png,,,,image,image,,,,5,11,,,,match,match,,,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
4,5,5,grid_14.png,grid_12.png,grid_08.png,grid_03.png,,image,image,image,image,,14,16,13,8,,grid_10.png,grid_03.png,grid_14.png,grid_08.png,,image,image,image,image,,16,8,14,13,,distractor,match,match,match,,2,ArrowLeft,key-button-yes.png,image,1,ArrowRight,key-button-no.png,image,0
