trialsno;listlength;phase;type;step;shape;color;nsubst;nrep;item0;item1;item2;item3;item4
1;5;0;0;0;0;0;0;0;9;1;7;10;5
1;0;1;1;0;0;0;0;0;9;1;7;10;5
1;5;2;2;1;0;9;0;0;9;1;7;10;5
1;5;2;2;2;1;1;0;0;9;1;7;10;5
1;5;2;2;3;2;7;0;0;9;1;7;10;5
1;5;2;2;4;3;10;0;0;9;1;7;10;5
1;5;2;2;5;4;5;0;0;9;1;7;10;5
2;5;0;0;0;0;0;0;0;6;9;3;1;7
2;10;1;1;1;0;8;1;0;8;9;3;1;7
2;10;1;1;2;4;2;1;0;8;9;3;1;2
2;10;1;1;3;1;5;1;0;8;5;3;1;2
2;10;1;1;4;3;4;1;0;8;5;3;4;2
2;10;1;1;5;1;6;2;0;8;6;3;4;2
2;10;1;1;6;2;7;1;0;8;6;7;4;2
2;10;1;1;7;1;6;2;1;8;6;7;4;2
2;10;1;1;8;2;7;1;1;8;6;7;4;2
2;10;1;1;9;3;4;1;1;8;6;7;4;2
2;10;1;1;10;4;2;1;1;8;6;7;4;2
2;5;2;2;1;0;8;1;0;8;6;7;4;2
2;5;2;2;2;1;6;2;1;8;6;7;4;2
2;5;2;2;3;2;7;1;1;8;6;7;4;2
2;5;2;2;4;3;4;1;1;8;6;7;4;2
2;5;2;2;5;4;2;1;1;8;6;7;4;2
3;5;0;0;0;0;0;0;0;4;2;3;7;1
3;10;1;1;1;1;5;1;0;4;5;3;7;1
3;10;1;1;2;3;10;1;0;4;5;3;10;1
3;10;1;1;3;2;3;0;1;4;5;3;10;1
3;10;1;1;4;0;7;1;0;7;5;3;10;1
3;10;1;1;5;3;2;2;0;7;5;3;2;1
3;10;1;1;6;0;6;2;0;6;5;3;2;1
3;10;1;1;7;3;4;3;0;6;5;3;4;1
3;10;1;1;8;0;2;3;0;2;5;3;4;1
3;10;1;1;9;3;4;3;1;2;5;3;4;1
3;10;1;1;10;1;5;1;1;2;5;3;4;1
3;5;2;2;1;0;2;3;0;2;5;3;4;1
3;5;2;2;2;1;5;1;1;2;5;3;4;1
3;5;2;2;3;2;3;0;1;2;5;3;4;1
3;5;2;2;4;3;4;3;1;2;5;3;4;1
3;5;2;2;5;4;1;0;0;2;5;3;4;1