type,run,trial,phase,listType,gridRows,gridCols,stimulusCount,stimulusValue1,stimulusValueType1,stimulusGridPosition1,gridCellClass1,stimulusValue2,stimulusValueType2,stimulusGridPosition2,gridCellClass2,correctResponse,probeType,listSwitch,objectSwitch,keyCode1,keyLabel1,keyLabelType1,response1,keyCode2,keyLabel2,keyLabelType2,response2
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,1,0,1,1,1,2,2,squareempty.png,image,1,greenCell,moonfilled.png,image,2,greenCell,,,,,,,,,,,,
1,1,1,2,1,1,2,2,triangleempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,2,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,3,2,1,1,2,2,,text,1,greenCell,diamondempty.png,image,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,4,2,1,1,2,2,,text,1,greenCell,squareempty.png,image,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,5,2,1,1,2,2,,text,1,greenCell,squareempty.png,image,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,6,2,1,1,2,2,,text,1,greenCell,triangleempty.png,image,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,7,2,1,1,2,2,,text,1,greenCell,squareempty.png,image,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,8,2,1,1,2,2,circleempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,9,2,1,1,2,2,squareempty.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,10,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,11,2,1,1,2,2,,text,1,greenCell,squareempty.png,image,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,12,2,1,1,2,2,,text,1,greenCell,squareempty.png,image,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,13,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,2,0,1,2,1,2,2,hexagonfilled.png,image,1,magentaCell,moonempty.png,image,2,magentaCell,,,,,,,,,,,,
1,2,1,2,2,1,2,2,,text,1,magentaCell,circlefilled.png,image,2,magentaCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,2,2,2,1,2,2,hexagonfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,3,2,2,1,2,2,,text,1,magentaCell,moonempty.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,4,2,2,1,2,2,,text,1,magentaCell,moonempty.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,5,2,2,1,2,2,halfsquarefilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,6,2,2,1,2,2,,text,1,magentaCell,moonempty.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,7,2,2,1,2,2,,text,1,magentaCell,moonempty.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,8,2,2,1,2,2,,text,1,magentaCell,triangleempty.png,image,2,magentaCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,9,2,2,1,2,2,hexagonfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,10,2,2,1,2,2,circlefilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,11,2,2,1,2,2,,text,1,magentaCell,hexagonfilled.png,image,2,magentaCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,12,2,2,1,2,2,,text,1,magentaCell,hexagonfilled.png,image,2,magentaCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,2,13,2,2,1,2,2,hexagonfilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,3,0,1,1,1,2,2,moonempty.png,image,1,greenCell,diamondempty.png,image,2,greenCell,,,,,,,,,,,,
1,3,1,2,1,1,2,2,diamondfilled.png,image,1,greenCell,,text,2,greenCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,2,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,3,2,1,1,2,2,,text,1,greenCell,diamondempty.png,image,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,4,2,1,1,2,2,diamondempty.png,image,1,greenCell,,text,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,5,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,6,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,7,2,1,1,2,2,,text,1,greenCell,tearfilled.png,image,2,greenCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,8,2,1,1,2,2,diamondempty.png,image,1,greenCell,,text,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,9,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,10,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,11,2,1,1,2,2,,text,1,greenCell,heartfilled.png,image,2,greenCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,12,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,3,13,2,1,1,2,2,,text,1,greenCell,moonempty.png,image,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,4,0,1,2,1,2,2,circlefilled.png,image,1,magentaCell,moonfilled.png,image,2,magentaCell,,,,,,,,,,,,
1,4,1,2,2,1,2,2,circlefilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,2,2,2,1,2,2,,text,1,magentaCell,circlefilled.png,image,2,magentaCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,3,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,4,2,2,1,2,2,heartempty.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,5,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,6,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,7,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,8,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,9,2,2,1,2,2,,text,1,magentaCell,hexagonfilled.png,image,2,magentaCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,10,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,11,2,2,1,2,2,circlefilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,12,2,2,1,2,2,,text,1,magentaCell,moonfilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,4,13,2,2,1,2,2,circlefilled.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,5,0,1,1,1,2,2,moonfilled.png,image,1,greenCell,trianglefilled.png,image,2,greenCell,,,,,,,,,,,,
1,5,1,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,0,2,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,2,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,3,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,4,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,5,2,1,1,2,2,moonempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,6,2,1,1,2,2,,text,1,greenCell,trianglefilled.png,image,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,7,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,8,2,1,1,2,2,moonfilled.png,image,1,greenCell,,text,2,greenCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,9,2,1,1,2,2,tearempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,10,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,11,2,1,1,2,2,trianglefilled.png,image,1,greenCell,,text,2,greenCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,12,2,1,1,2,2,starempty.png,image,1,greenCell,,text,2,greenCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,5,13,2,1,1,2,2,,text,1,greenCell,moonfilled.png,image,2,greenCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,1,0,0,0,1,1,1,!!!,text,1,warningCell,,,,,,,,,,,,,,,,
1,6,0,1,2,1,2,2,triangleempty.png,image,1,magentaCell,trianglefilled.png,image,2,magentaCell,,,,,,,,,,,,
1,6,1,2,2,1,2,2,squarefilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,2,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,2,2,2,1,2,2,,text,1,magentaCell,diamondfilled.png,image,2,magentaCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,3,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,4,2,2,1,2,2,trianglefilled.png,image,1,magentaCell,,text,2,magentaCell,0,2,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,5,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,6,2,2,1,2,2,halfsquareempty.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,7,2,2,1,2,2,,text,1,magentaCell,triangleempty.png,image,2,magentaCell,0,2,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,8,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,9,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,10,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,11,2,2,1,2,2,hexagonfilled.png,image,1,magentaCell,,text,2,magentaCell,0,3,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,12,2,2,1,2,2,triangleempty.png,image,1,magentaCell,,text,2,magentaCell,1,1,2,0,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
1,6,13,2,2,1,2,2,,text,1,magentaCell,trianglefilled.png,image,2,magentaCell,1,1,2,1,ArrowLeft,de_key_yes.png,image,1,ArrowRight,de_key_no.png,image,0
